"","TimeStamp_Meteo","TA","TA_MAX","TA_MIN","TS_-0.1m","TS_-0.2m","P","SW_CUM","VP","PPFD_CUM","NETRAD_CUM","WS","WS_MAX","Station Name","Date","TimeStamp_Q","Q","Q_m3d","q_md","Site_id","q_md_filled","Treatment","Treatment_4","Site_id_chem","pH","EC_uScm","DOC_mgL","NO2_NO3_ugL","DN_mgL","NH4_ugL","PO4_ugL","SO4_ugL","Mn_ugL","Na_ugL","Cl_ugL","Ca_ugL","P_ugL","Si_ugL","Mg_ugL","K_ugL","Fe_ugL","Hg_ugL","d18O","d2H","DIC_mgL","pCO2_uatm","CH4_ugL","CO2_mgL","dexcess","pH_MW","WT_MW","DIC_mgL_MW","CO2_mgL_MW","CH4_ugL_MW","Date_MW","row_id","CO2_mgL_filled","DIC_mgL_filled","pH_filled","EC_uScm_filled","DOC_mgL_filled","NO2_NO3_ugL_filled","DN_mgL_filled","NH4_ugL_filled","PO4_ugL_filled","SO4_ugL_filled","Mn_ugL_filled","Na_ugL_filled","Cl_ugL_filled","Ca_ugL_filled","P_ugL_filled","Si_ugL_filled","Mg_ugL_filled","K_ugL_filled","Fe_ugL_filled","Hg_ugL_filled","d18O_filled","d2H_filled","dexcess_filled","n","Site_ID_14C","Publication Code_DOC","Sample_id_DOC","DOY","Year","Site_id_C14","Treatment_C14","Material_Type_DOC","DOC_14C_Modern","DOC_14C_Modern_error","Radio_Age_DOC","Radio_Age_uncertainty_DOC","DOCmgL_14C_DOC","d13C_DOC","Date_CO2","...18","Publication Code_CO2","Sample_id_CO2","Material_Type_CO2","CO2_14C_Modern","CO2_14C_Modern_error","Radio_Age_CO2","Radio_Age_uncertainty_CO2","CO2_vol_ml_or_DOCmgL_CO2","d13C_CO2"
"1",2020-01-01,-0.5,5.8,-4.3,NA,0.8,4.3,0.2,6.2,NA,NA,3,15.2,"HYG",2020-01-01,NA,NA,NA,NA,"DC2",3.75993626190476e-06,"Pristine","Pristine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2589954956049,2.28324025209233,4.6,54.01,32.0566666666667,6.7,0.619366666666667,6.62,2.19,3672.34,24.4900528376292,2397.92310218979,979.244,3396.99599012439,34.8669465894932,5510.9555932386,878.762238100609,289.395148167781,631.922362309468,0.0068559815445111,-13.1859906661303,-95.8908572911114,9.59706803793101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-01-02,2,5.5,-0.6,NA,0.8,0,0,6.8,NA,NA,2.9,11,"HYG",2020-01-02,NA,NA,NA,NA,"DC2",5.0136019047619e-06,"Pristine","Pristine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2589954956049,2.28324025209233,4.6,54.01,32.0566666666667,6.7,0.619366666666667,6.62,2.19,3672.34,24.4900528376292,2397.92310218979,979.244,3396.99599012439,34.8669465894932,5510.9555932386,878.762238100609,289.395148167781,631.922362309468,0.0068559815445111,-13.1859906661303,-95.8908572911114,9.59706803793101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-01-03,0.4,4.5,-3.1,NA,0.8,0.4,0.1,5.4,NA,NA,4.4,12.2,"HYG",2020-01-03,NA,NA,NA,NA,"DC2",8.14267152380952e-06,"Pristine","Pristine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2589954956049,2.28324025209233,4.6,54.01,32.0566666666667,6.7,0.619366666666667,6.62,2.19,3672.34,24.4900528376292,2397.92310218979,979.244,3396.99599012439,34.8669465894932,5510.9555932386,878.762238100609,289.395148167781,631.922362309468,0.0068559815445111,-13.1859906661303,-95.8908572911114,9.59706803793101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-01-04,-1.8,1.4,-6.2,NA,0.8,0,0.1,3.8,NA,NA,5.6,17.8,"HYG",2020-01-04,NA,NA,NA,NA,"DC2",8.19089120238095e-06,"Pristine","Pristine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2589954956049,2.28324025209233,4.6,54.01,32.0566666666667,6.7,0.619366666666667,6.62,2.19,3672.34,24.4900528376292,2397.92310218979,979.244,3396.99599012439,34.8669465894932,5510.9555932386,878.762238100609,289.395148167781,631.922362309468,0.0068559815445111,-13.1859906661303,-95.8908572911114,9.59706803793101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-01-05,-7.8,-2.7,-11.9,NA,0.8,1.8,0.2,3.5,NA,NA,2.6,7.9,"HYG",2020-01-05,NA,NA,NA,NA,"DC2",5.30967626190476e-06,"Pristine","Pristine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2589954956049,2.28324025209233,4.6,54.01,32.0566666666667,6.7,0.619366666666667,6.62,2.19,3672.34,24.4900528376292,2397.92310218979,979.244,3396.99599012439,34.8669465894932,5510.9555932386,878.762238100609,289.395148167781,631.922362309468,0.0068559815445111,-13.1859906661303,-95.8908572911114,9.59706803793101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-01-06,-3.6,0.3,-6.9,NA,0.8,0.8,0.2,5.1,NA,NA,2.2,6.2,"HYG",2020-01-06,NA,NA,NA,NA,"DC2",4.34943370238095e-06,"Pristine","Pristine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2589954956049,2.28324025209233,4.6,54.01,32.0566666666667,6.7,0.619366666666667,6.62,2.19,3672.34,24.4900528376292,2397.92310218979,979.244,3396.99599012439,34.8669465894932,5510.9555932386,878.762238100609,289.395148167781,631.922362309468,0.0068559815445111,-13.1859906661303,-95.8908572911114,9.59706803793101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-01-07,-0.6,1.5,-3.4,NA,0.8,0.6,0.2,6.3,NA,NA,3.2,11.1,"HYG",2020-01-07,NA,NA,NA,NA,"DC2",5.79181146428571e-06,"Pristine","Pristine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2589954956049,2.28324025209233,4.6,54.01,32.0566666666667,6.7,0.619366666666667,6.62,2.19,3672.34,24.4900528376292,2397.92310218979,979.244,3396.99599012439,34.8669465894932,5510.9555932386,878.762238100609,289.395148167781,631.922362309468,0.0068559815445111,-13.1859906661303,-95.8908572911114,9.59706803793101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-01-08,1,4.2,-3.1,NA,0.8,0,0.1,6.5,NA,NA,4.1,12.4,"HYG",2020-01-08,NA,NA,NA,NA,"DC2",8.03678195238095e-06,"Pristine","Pristine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2589954956049,2.28324025209233,4.6,54.01,32.0566666666667,6.7,0.619366666666667,6.62,2.19,3672.34,24.4900528376292,2397.92310218979,979.244,3396.99599012439,34.8669465894932,5510.9555932386,878.762238100609,289.395148167781,631.922362309468,0.0068559815445111,-13.1859906661303,-95.8908572911114,9.59706803793101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-01-09,-0.6,1.8,-5.1,NA,0.8,0,0.2,4.8,NA,NA,4.3,13.5,"HYG",2020-01-09,NA,NA,NA,NA,"DC2",7.65787136904762e-06,"Pristine","Pristine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2589954956049,2.28324025209233,4.6,54.01,32.0566666666667,6.7,0.619366666666667,6.62,2.19,3672.34,24.4900528376292,2397.92310218979,979.244,3396.99599012439,34.8669465894932,5510.9555932386,878.762238100609,289.395148167781,631.922362309468,0.0068559815445111,-13.1859906661303,-95.8908572911114,9.59706803793101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-01-10,-5.5,-1.6,-8.1,NA,0.9,0,0.2,4.2,NA,NA,2.4,6.8,"HYG",2020-01-10,NA,NA,NA,NA,"DC2",5.28107036904762e-06,"Pristine","Pristine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2589954956049,2.28324025209233,4.6,54.01,32.0566666666667,6.7,0.619366666666667,6.62,2.19,3672.34,24.4900528376292,2397.92310218979,979.244,3396.99599012439,34.8669465894932,5510.9555932386,878.762238100609,289.395148167781,631.922362309468,0.0068559815445111,-13.1859906661303,-95.8908572911114,9.59706803793101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
